location_id,location_name,latitude,longitude,name,AreaName,RegionName
6002,Opp Blk 810 CP,1.3743166,103.74701,kml_6,CHOA CHU KANG,WEST REGION
6003,Blk 682A,1.4028867,103.91627,kml_18,PUNGGOL,NORTH-EAST REGION
6004,Blk 661A,1.4028077,103.916336,kml_18,PUNGGOL,NORTH-EAST REGION
6012,Blk 19,1.3272115,103.85979,kml_15,NOVENA,CENTRAL REGION
6013,Blk 19,1.3272115,103.85979,kml_15,NOVENA,CENTRAL REGION
6014,Opp Blk 65,1.3278267,103.85811,kml_15,NOVENA,CENTRAL REGION
6015,Opp Blk 65,1.3278267,103.85811,kml_15,NOVENA,CENTRAL REGION
6026,Bef Chestnut Ave,1.3677258,103.77531,kml_2,BUKIT PANJANG,WEST REGION
6028,Opp Blk 816A,1.3756,103.7484,kml_6,CHOA CHU KANG,WEST REGION
6049,Bef Dairy Farm Rd,1.3664589,103.77559,kml_2,BUKIT PANJANG,WEST REGION
6065,Aft Dairy Farm Rd,1.3657428,103.775314,kml_2,BUKIT PANJANG,WEST REGION
6076,Sembawang Int,1.4474818,103.81941,kml_26,SEMBAWANG,NORTH REGION
6077,Tannery Blk,1.3262647,103.8749,kml_50,GEYLANG,CENTRAL REGION
6078,Aft Kallang Way 1,1.3224798,103.87674,kml_50,GEYLANG,CENTRAL REGION
6079,Aft Genting Lane,1.3233557,103.87901,kml_50,GEYLANG,CENTRAL REGION
6080,Bef Sims Ave,1.3150145,103.878365,kml_50,GEYLANG,CENTRAL REGION
6081,Aft Kallang Way 4,1.3231984,103.87905,kml_50,GEYLANG,CENTRAL REGION
6082,Aft Kallang Way 2,1.3222975,103.87682,kml_50,GEYLANG,CENTRAL REGION
6083,Bef Lor Bakar Batu,1.325985,103.87447,kml_50,GEYLANG,CENTRAL REGION
6084,Aft Kallang Sector,1.3276881,103.87257,kml_50,GEYLANG,CENTRAL REGION
6086,BEF GENTING LK,1.3285997,103.87346,kml_50,GEYLANG,CENTRAL REGION
6087,Serangoon Sec Sch,1.375265,103.901344,kml_8,HOUGANG,NORTH-EAST REGION
6088,Yio Chu Kang Amenity Ctr,1.3766502,103.87172,kml_28,SERANGOON,NORTH-EAST REGION
6089,Ban Teck Han Bldg,1.375223,103.87393,kml_28,SERANGOON,NORTH-EAST REGION
6090,Opp Blk 531,1.3751928,103.874886,kml_28,SERANGOON,NORTH-EAST REGION
6091,Opp Blk 565,1.38154,103.888054,kml_8,HOUGANG,NORTH-EAST REGION
6092,Aft Buangkok Dr,1.3828864,103.889114,kml_27,SENGKANG,NORTH-EAST REGION
6093,Bef Sengkang East Ave,1.3853364,103.89074,kml_27,SENGKANG,NORTH-EAST REGION
6094,Blk 301D,1.388093,103.89168,kml_27,SENGKANG,NORTH-EAST REGION
6095,Blk 323B,1.3920329,103.893074,kml_27,SENGKANG,NORTH-EAST REGION
6096,Opp Sengkang Stn/Blk 260A,1.3929085,103.89532,kml_27,SENGKANG,NORTH-EAST REGION
6097,Sengkang Stn,1.3923391,103.896065,kml_27,SENGKANG,NORTH-EAST REGION
6098,Sengkang Community Hub,1.3923095,103.89346,kml_27,SENGKANG,NORTH-EAST REGION
6099,Aft Sengkang East Ave,1.3857527,103.89121,kml_27,SENGKANG,NORTH-EAST REGION
6100,Bef Buangkok Dr,1.3830462,103.8896,kml_27,SENGKANG,NORTH-EAST REGION
6101,Blk 565,1.3813334,103.888214,kml_8,HOUGANG,NORTH-EAST REGION
6102,Blk 531,1.3750035,103.875015,kml_28,SERANGOON,NORTH-EAST REGION
6103,Blk 538,1.3751217,103.873184,kml_28,SERANGOON,NORTH-EAST REGION
6104,Opp Seagate,1.3773462,103.8716,kml_28,SERANGOON,NORTH-EAST REGION
6105,Bef Ang Mo Kio Stn Exit B,1.371373,103.84866,kml_19,ANG MO KIO,NORTH-EAST REGION
6106,Bet Blks 50/51,1.3203455,103.73754,kml_9,JURONG EAST,WEST REGION
6107,Opp West Bay Resort Condo,1.2990814,103.767,kml_7,CLEMENTI,WEST REGION
6108,Opp Blk 51,1.3202397,103.73708,kml_9,JURONG EAST,WEST REGION
6109,BEDOK RESVR STN EXIT A,1.3366005,103.93309,kml_20,BEDOK,EAST REGION
6110,Bedok Resvr Stn Exit B,1.3370252,103.933334,kml_20,BEDOK,EAST REGION
6111,Opp Blks 237/239,1.3788923,103.74763,kml_6,CHOA CHU KANG,WEST REGION
6113,Riverside Sec Sch,1.4409224,103.789085,kml_54,WOODLANDS,NORTH REGION
6114,Blk 875,1.442355,103.79004,kml_54,WOODLANDS,NORTH REGION
6115,Blk 880,1.4441353,103.79265,kml_54,WOODLANDS,NORTH REGION
6116,Blk 856,1.4407145,103.79315,kml_54,WOODLANDS,NORTH REGION
6117,Aft Dhoby Ghaut Stn,1.2989583,103.84654,kml_40,MUSEUM,CENTRAL REGION
6119,Opp Toh Tuck Cres,1.3376961,103.764305,kml_23,BUKIT BATOK,WEST REGION
6120,Blk 291E,1.343591,103.754364,kml_23,BUKIT BATOK,WEST REGION
6121,Opp Blk 291E,1.3437637,103.754234,kml_23,BUKIT BATOK,WEST REGION
6122,Sunshine Pl,1.37811,103.7385,kml_6,CHOA CHU KANG,WEST REGION
6123,Blk 483,1.3762096,103.73789,kml_6,CHOA CHU KANG,WEST REGION
6126,Bef Sembawang Stn,1.448359,103.822014,kml_26,SEMBAWANG,NORTH REGION
6128,Fullerton Sq,1.2856184,103.853424,kml_37,DOWNTOWN CORE,CENTRAL REGION
6129,Novena Stn Exit B,1.3210996,103.84224,kml_15,NOVENA,CENTRAL REGION
6130,Blk 589D,1.4497412,103.823975,kml_26,SEMBAWANG,NORTH REGION
6131,Tropica Condo,1.349138,103.92798,kml_32,TAMPINES,EAST REGION
6132,Opp Tropica Condo,1.3494984,103.92783,kml_32,TAMPINES,EAST REGION
6133,Changi General Hosp,1.340055,103.94838,kml_32,TAMPINES,EAST REGION
6134,Opp Changi General Hosp,1.3394165,103.9485,kml_32,TAMPINES,EAST REGION
6135,Bef Tampines Lk,1.3707963,103.930565,kml_32,TAMPINES,EAST REGION
6136,Bef Tampines Ind Ave 5,1.3706442,103.930305,kml_51,PAYA LEBAR,EAST REGION
6137,Opp Blk 589D,1.4493614,103.8243,kml_26,SEMBAWANG,NORTH REGION
6138,Bef Admiralty Stn/Blk 680,1.4397388,103.802505,kml_54,WOODLANDS,NORTH REGION
6140,Sembawang Int,1.4474818,103.81941,kml_26,SEMBAWANG,NORTH REGION
6141,Blk 331,1.338065,103.72376,kml_10,JURONG WEST,WEST REGION
6142,Blk 329,1.3377622,103.72359,kml_10,JURONG WEST,WEST REGION
6143,Opp Blk 521,1.4346449,103.793526,kml_54,WOODLANDS,NORTH REGION
6144,Blk 618,1.4334903,103.796394,kml_54,WOODLANDS,NORTH REGION
6145,Blk 620,1.4332082,103.79885,kml_54,WOODLANDS,NORTH REGION
6146,Blk 630,1.4347262,103.80189,kml_54,WOODLANDS,NORTH REGION
6147,Blk 639,1.437892,103.803345,kml_54,WOODLANDS,NORTH REGION
6148,Blk 793,1.4421188,103.80305,kml_54,WOODLANDS,NORTH REGION
6149,Woodsvale Condo,1.4438871,103.80622,kml_54,WOODLANDS,NORTH REGION
6150,Blk 478,1.4527314,103.81642,kml_26,SEMBAWANG,NORTH REGION
6151,Blk 405,1.4526799,103.81688,kml_26,SEMBAWANG,NORTH REGION
6152,Blk 354 CP,1.4501979,103.81811,kml_26,SEMBAWANG,NORTH REGION
6153,Sun Plaza/Sembawang Stn,1.4480315,103.818954,kml_26,SEMBAWANG,NORTH REGION
6154,Blk 317,1.4457932,103.81995,kml_26,SEMBAWANG,NORTH REGION
6155,Opp Woodsvale Condo,1.444307,103.80714,kml_54,WOODLANDS,NORTH REGION
6156,Opp Blk 793,1.4418495,103.80309,kml_54,WOODLANDS,NORTH REGION
6157,Blk 683A,1.4399264,103.802635,kml_54,WOODLANDS,NORTH REGION
6158,Blk 471A,1.3960053,103.87927,kml_27,SENGKANG,NORTH-EAST REGION
6159,Opp Blk 471A,1.3954939,103.88094,kml_27,SENGKANG,NORTH-EAST REGION
6160,Multico,1.2891291,103.630196,kml_36,TUAS,WEST REGION
6161,Aft Tuas View Circuit,1.2889193,103.63302,kml_36,TUAS,WEST REGION
6162,Bef Tuas Sth Ave 9,1.2886975,103.63587,kml_36,TUAS,WEST REGION
6163,Framo S'pore Pte Ltd,1.2909662,103.63684,kml_36,TUAS,WEST REGION
6164,Opp YLS Steel,1.2932497,103.637,kml_36,TUAS,WEST REGION
6165,Aft Tuas Sth Ave 9,1.2944816,103.63619,kml_36,TUAS,WEST REGION
6166,Bef Tuas Sth Ave 7,1.2956892,103.632965,kml_36,TUAS,WEST REGION
6167,Bef Tuas Sth Ave 5,1.2968976,103.629776,kml_36,TUAS,WEST REGION
6168,Aft Tuas Sth Ave 8,1.2994647,103.62877,kml_36,TUAS,WEST REGION
6169,Pioneer Junction,1.3336971,103.69666,kml_10,JURONG WEST,WEST REGION
6170,Secura S'Pore,1.3300047,103.696655,kml_10,JURONG WEST,WEST REGION
6171,Aft Intl Rd,1.3262454,103.69662,kml_22,BOON LAY,WEST REGION
6172,Aft Pioneer Rd Nth,1.3245316,103.69584,kml_17,PIONEER,WEST REGION
6173,Nippon,1.3245186,103.692764,kml_17,PIONEER,WEST REGION
6174,Auto World Care,1.3245348,103.69091,kml_17,PIONEER,WEST REGION
6175,Bef Fourth Lok Yang Rd,1.3245467,103.68836,kml_17,PIONEER,WEST REGION
6176,Opp Leroy-Somer,1.3245496,103.685646,kml_17,PIONEER,WEST REGION
6177,MES Logistic Hub,1.3253711,103.684044,kml_17,PIONEER,WEST REGION
6178,Opp Varco,1.3266689,103.68401,kml_17,PIONEER,WEST REGION
6179,Hoe Keng Motor,1.3246801,103.69562,kml_17,PIONEER,WEST REGION
6180,Opp Secura S'pore,1.3295417,103.69638,kml_10,JURONG WEST,WEST REGION
6181,S'pore Post,1.3330162,103.69638,kml_10,JURONG WEST,WEST REGION
6182,Blk 55,1.3558633,103.68611,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6183,Hall 15,1.3532414,103.68193,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6184,Hall 12,1.3518682,103.68052,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6185,CP 7,1.3507193,103.67864,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6186,NIE Lib,1.3484533,103.67666,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6187,Blk 2,1.3479327,103.68025,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6188,Blk 41,1.3500897,103.68418,kml_53,WESTERN WATER CATCHMENT,WEST REGION
6189,Bef Fan Yoong Rd,1.3292633,103.70284,kml_10,JURONG WEST,WEST REGION
6190,Opp Blk 662C,1.337665,103.70492,kml_10,JURONG WEST,WEST REGION
6191,Opp Blk 660 CP,1.3346494,103.70458,kml_10,JURONG WEST,WEST REGION
6192,Opp Blk 657 CP,1.3346546,103.70101,kml_10,JURONG WEST,WEST REGION
6193,Opp Blk 655 CP,1.3346356,103.69795,kml_10,JURONG WEST,WEST REGION
