origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
4862,4944,afternoon,1.0,2,84029,84559,1.3229531,1.328333,103.92518,103.922874
1685,1755,evening,2.3,16,17239,19019,1.3124405,1.308073,103.76585,103.78476
2756,2411,morning,3.3,8,43429,28449,1.351087,1.3361816,103.75389,103.73945
1922,1896,afternoon,4.15,12,21561,21429,1.3288932,1.347402,103.72274,103.710594
23,24,evening,24.0,11,23,24,1.319505215,1.436875128,103.6605988,103.7864999
6785,2418,evening,2.7,1,28009,28491,1.33235,1.349056,103.74066,103.73079
6456,6159,afternoon,0.9,10,67389,67559,1.3942438,1.3954939,103.888695,103.88094
3435,3399,evening,1.4,11,52509,52281,1.3311571,1.3344461,103.850174,103.85362
3805,3446,morning,9.1,12,59049,53049,1.41701,1.3536266,103.8334,103.83422
6666,4246,morning,2.1,12,54009,66341,1.3696877,1.3711419,103.848564,103.86525
1730,1768,afternoon,1.0,20,18119,19091,1.3000464,1.3073928,103.78467,103.78208
6158,5349,morning,0.9,13,67551,67381,1.3960053,1.3945904,103.87927,103.88844
5822,6284,morning,2.1,14,59009,59591,1.4284,1.4265369,103.8361,103.84948
4227,6714,afternoon,4.7,15,66181,62189,1.3587867,1.3505639,103.861855,103.87471
1769,1729,morning,0.8,22,19099,18111,1.3069712,1.300593,103.78191,103.784485
4151,4032,morning,1.67,23,64489,63219,1.3748877,1.3685664,103.88068,103.876274
1177,3910,evening,1.6,12,7111,60121,1.3087937,1.3200881,103.85317,103.8618
3392,3382,evening,1.1,10,52239,52171,1.334122,1.3409499,103.848946,103.84778
107,101,evening,8.5,24,107,101,1.276521247,1.26547264,103.8458611,103.821446
3386,3409,morning,1.6,15,52191,52341,1.3363614,1.3362578,103.846085,103.85562
6815,4227,morning,4.1,26,66009,66181,1.3504661,1.3587867,103.87169,103.861855
3380,3407,evening,2.4,13,52161,52331,1.3409383,1.332463,103.845406,103.85581
4301,4078,morning,1.1,11,67161,64079,1.382125,1.3750083,103.89927,103.89775
4077,4302,morning,1.1,19,64071,67169,1.3751405,1.3825347,103.89725,103.89922
3145,6605,evening,4.2,12,46771,59269,1.440888,1.4377497,103.800186,103.83125
3994,3996,morning,0.3,19,63031,63041,1.3605044,1.3625916,103.88535,103.88755
3846,3146,morning,4.1,13,59261,46779,1.437558,1.4407135,103.83159,103.800705
4031,4152,afternoon,1.1,14,63211,64491,1.3681464,1.3751303,103.87573,103.87905
3445,3804,afternoon,9.1,11,53041,59041,1.3530784,1.4162542,103.834366,103.83259
101,107,morning,8.5,136,101,107,1.26547264,1.276521247,103.821446,103.8458611
1368,1671,morning,2.4,7,11191,17151,1.3080164,1.3116952,103.788376,103.76961
3867,3842,evening,1.3,14,59401,59241,1.4270545,1.4342722,103.84615,103.839226
101,103,evening,2.7,12,101,103,1.26547264,1.299550746,103.821446,103.8568623
2987,2977,morning,0.7,9,45329,45269,1.397438,1.3943617,103.74786,103.74373
3550,3658,afternoon,2.3,11,54229,55199,1.3696058,1.3795248,103.839935,103.84267
3652,3648,morning,0.6,10,55159,55139,1.383362,1.3789401,103.84065,103.84007
4736,4694,evening,2.1,13,81099,80051,1.3198228,1.312515,103.88195,103.87326
2320,2329,afternoon,0.5,11,27369,27411,1.3428538,1.3459083,103.69411,103.69273
4492,4478,morning,1.0,10,75159,75071,1.3540511,1.348933,103.931465,103.93654
5796,2320,afternoon,0.6,13,27139,27369,1.3420274,1.3428538,103.68898,103.69411
4770,4653,evening,11.7,10,82061,78051,1.3187616,1.3662531,103.90227,103.96118
3318,3308,morning,1.4,14,50229,50169,1.3209577,1.3264741,103.85284,103.84421
3647,3651,evening,0.7,10,55131,55151,1.3798628,1.3833944,103.83966,103.84033
6822,4486,afternoon,0.8,10,75009,75129,1.3540756,1.3556365,103.94339,103.93936
3658,3549,morning,3.4,14,55199,54221,1.3795248,1.3699561,103.84267,103.83959
1960,2283,evening,1.9,14,22009,27091,1.3393234,1.34911,103.70546,103.70389
43,27,afternoon,24.1,11,43,27,1.409612685,1.329989089,103.9048099,103.6396662
3447,3698,morning,3.5,26,53051,56051,1.354995,1.3824947,103.831604,103.82577
27,43,morning,24.1,12,27,43,1.329989089,1.409612685,103.6396662,103.9048099
2769,2784,morning,1.4,20,43491,43579,1.363954,1.3591172,103.74715,103.75167
3470,3447,afternoon,0.5,11,53179,53051,1.3530396,1.354995,103.83582,103.831604
5546,5548,morning,0.7,54,65301,65351,1.4043789,1.405894,103.90963,103.904724
4130,4078,morning,0.9,21,64361,64079,1.376345,1.3750083,103.89055,103.89775
2783,2769,afternoon,1.3,13,43571,43491,1.3592099,1.363954,103.7515,103.74715
134,131,morning,1.8,25,134,131,1.325883209,1.284359578,103.8073292,103.8434242
2878,2867,afternoon,2.0,12,44299,44241,1.3817725,1.3811744,103.75131,103.76586
4227,4234,morning,1.9,9,66181,66251,1.3587867,1.367243,103.861855,103.86654
3448,3444,morning,0.7,13,53059,53039,1.355471,1.3514469,103.83122,103.83591
4077,4131,morning,0.8,11,64071,64369,1.3751405,1.3763444,103.89725,103.891495
2284,5376,morning,1.77,12,27099,22009,1.3502369,1.3393234,103.70361,103.70546
18,64,evening,3.7,15,18,64,1.334549778,1.376684679,103.9615134,103.7537352
5105,5034,afternoon,3.1,10,94039,92149,1.3148537,1.3092806,103.94067,103.914345
1149,1069,morning,2.0,4,5519,3031,1.2755347,1.2820749,103.841125,103.85086
38,37,afternoon,2.0,1,38,37,1.327717173,1.323979969,103.6784167,103.9299587
46,27,morning,18.5,25,46,27,1.386723922,1.329989089,103.8905227,103.6396662
6843,6674,evening,1.1,16,22009,22591,1.3393234,1.3442583,103.70546,103.70329
1268,1330,afternoon,2.2,5,10171,10599,1.287368,1.2888343,103.82346,103.80925
6637,5348,afternoon,1.2,14,67481,67379,1.391498,1.3927256,103.87765,103.88701
4864,4945,morning,1.7,24,84039,84569,1.3235364,1.3279698,103.92886,103.92011
5033,5104,evening,3.1,11,92141,94031,1.3093954,1.3150467,103.91428,103.9409
4526,5165,afternoon,1.2,11,76091,96139,1.3507164,1.3464642,103.95275,103.95586
5697,6927,morning,1.2,7,65389,65009,1.402257,1.4037063,103.91007,103.902245
6490,4077,morning,4.1,8,65161,64071,1.3973563,1.3751405,103.90859,103.89725
27,46,afternoon,18.5,10,27,46,1.329989089,1.386723922,103.6396662,103.8905227
12,38,evening,11.0,14,12,38,1.440585001,1.327717173,103.8009982,103.6784167
