origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon,origin_area_code,origin_area_name,origin_region_name,origin_location_id_1,destination_area_code,destination_area_name,destination_region_name,destination_location_id_1
16,14,afternoon,2.5,14,16,14,1.286081,1.27644,103.826958,103.845711,kml_1,BUKIT MERAH,CENTRAL REGION,16,kml_37,DOWNTOWN CORE,CENTRAL REGION,14
5021,5067,morning,0.8,11,92081,93021,1.3075134,1.3086777,103.91754,103.92427,kml_20,BEDOK,EAST REGION,5021,kml_20,BEDOK,EAST REGION,5067
4512,4483,morning,1.3,10,75329,75101,1.3577547,1.3510997,103.93627,103.9315,kml_32,TAMPINES,EAST REGION,4512,kml_32,TAMPINES,EAST REGION,4483
21,57,night,14.3,11,21,57,1.315302,1.382431,103.765244,103.892747,kml_7,CLEMENTI,WEST REGION,21,kml_2,BUKIT PANJANG,WEST REGION,57
4234,6816,afternoon,3.5,27,66251,66009,1.367243,1.3504661,103.86654,103.87169,kml_28,SERANGOON,NORTH-EAST REGION,4234,kml_28,SERANGOON,NORTH-EAST REGION,6816
4444,4769,afternoon,2.9,8,72069,82049,1.33151,1.3163418,103.90978,103.89892,kml_20,BEDOK,EAST REGION,4444,kml_50,GEYLANG,CENTRAL REGION,4769
2012,1897,morning,1.8,12,22349,21431,1.3452054,1.3476564,103.7008,103.71241,kml_10,JURONG WEST,WEST REGION,2012,kml_10,JURONG WEST,WEST REGION,1897
27,21,morning,8.2,11,27,21,1.33884,1.315302,103.705546,103.765244,kml_10,JURONG WEST,WEST REGION,27,kml_7,CLEMENTI,WEST REGION,21
6843,2314,morning,2.3,11,22009,27331,1.3393234,1.345373,103.70546,103.69941,kml_10,JURONG WEST,WEST REGION,6843,kml_10,JURONG WEST,WEST REGION,2314
57,21,morning,14.3,14,57,21,1.382431,1.315302,103.892747,103.765244,kml_2,BUKIT PANJANG,WEST REGION,57,kml_7,CLEMENTI,WEST REGION,21
6739,6493,morning,1.0,13,65239,65169,1.3941046,1.3964573,103.91604,103.909325,kml_18,PUNGGOL,NORTH-EAST REGION,6739,kml_18,PUNGGOL,NORTH-EAST REGION,6493
3787,6150,morning,0.7,10,58259,58349,1.4477726,1.4527314,103.818954,103.81642,kml_26,SEMBAWANG,NORTH REGION,3787,kml_26,SEMBAWANG,NORTH REGION,6150
1898,2011,evening,1.7,12,21439,22341,1.3484228,1.3449161,103.71166,103.701035,kml_10,JURONG WEST,WEST REGION,1898,kml_10,JURONG WEST,WEST REGION,2011
4862,5032,morning,3.37,9,84029,92139,1.3229531,1.3085397,103.92518,103.91063,kml_20,BEDOK,EAST REGION,4862,kml_20,BEDOK,EAST REGION,5032
4062,6995,morning,3.0,9,63399,63221,1.3702233,1.3579932,103.88029,103.885506,kml_8,HOUGANG,NORTH-EAST REGION,4062,kml_8,HOUGANG,NORTH-EAST REGION,6995
